result_value_units,target,multiplication_factor
#International unit/m,units/L,1.0
%,%,1.0
*10^9/l,10*9/L,1.0
/minute,bpm,1.0
10 9/l,10*9/L,1.0
10*12 cells/L,10*12/L,1.0
10*12/l,10*12/L,1.0
10*12/L,10*12/L,1.0
10*9 cells/L,10*9/L,1.0
10*9/l,10*9/L,1.0
10*9/L,10*9/L,1.0
10*9cells/L,10*9/L,1.0
10^12/L,10*12/L,1.0
10^9/L,10*9/L,1.0
[iU]/L,units/L,1.0
[iU]/mL,kU/L,1.0
beats/min,bpm,1.0
Beats/min,bpm,1.0
beats/minute,bpm,1.0
bpm,bpm,1.0
cm,m,0.01
Femtolitre,fl,1.0
fL,fl,1.0
fl,fl,1.0
g,grams,1.0
g/dL,g/L,10.0
g/dl,g/L,10.0
g/L,mg/L,1000.0
g/l,g/L,1.0
g/L,g/L,1.0
g/mol,mg/mmol,1.0
g/molC,mg/mmol,1.0
gms,grams,1.0
Gram,grams,1.0
grams,grams,1.0
Grams/decilitre,g/L,10.0
IFCCmmol/mol,mmol/mol,1.0
International unit/l,units/L,1.0
IU/l,units/L,1.0
iu/L,units/L,1.0
IU/L,units/L,1.0
iu/ml,kU/L,1.0
IU/ml,kU/L,1.0
iu/mL,units/L,1000.0
IU/mL,kU/L,1.0
iu/mL,kU/L,1.0
Kg,kg,1.0
Kg,grams,1000.0
kg,grams,1000.0
kg,kg,1.0
Kg/m,kg/m2,1.0
Kg/m2,kg/m2,1.0
kg/m2,kg/m2,1.0
Kg/m?,kg/m2,1.0
Kilounits/litre,kU/L,1.0
KU/L,kU/L,1.0
ku/L,kU/L,1.0
kU/L,kU/L,1.0
Kunits/L,kU/L,1.0
kunits/L,kU/L,1.0
L,L,1.0
L/L,%,100.0
l/min,L/min,1.0
l/minute,L/min,1.0
litre,L,1.0
m,m,1.0
m[iU]/L,milliunits/L,1.0
mg per mmol Cr,mg/mmol,1.0
mg/dl,g/L,0.01
mg/l,mg/L,1.0
MG/L,mg/L,1.0
MG/L,g/L,0.001
mg/L,g/L,0.001
mg/L,mg/L,1.0
MG/MMOL,mg/mmol,1.0
mg/mmol,mg/mmol,1.0
mg/mmol (creat),mg/mmol,1.0
mg/mmol Cr,mg/mmol,1.0
mg/mmol creatinine,mg/mmol,1.0
mg/mmol(creat),mg/mmol,1.0
mg/mmol/creat,mg/mmol,1.0
mg/mmolcreat,mg/mmol,1.0
mg/mmol{creat},mg/mmol,1.0
microg/L,microg/L,1.0
microgram/litre,microg/L,1.0
micromol/L,micromol/L,1.0
Milligram/millimole,mg/mmol,1.0
Milligrams/litre,mg/L,1.0
Milliliter/minute,mL/min,1.0
Millimetre/hour,mm/h,1.0
Millimetres mercury,mmHg,1.0
millimol/L,millimol/L,1.0
Millimole/litre,millimol/L,1.0
Milliunit/litre,milliunits/L,1.0
milliunits/L,milliunits/L,1.0
miu/L,milliunits/L,1.0
ml,L,0.001
ml/m/1.73k,mL/min,1.0
mL/min,mL/min,1.0
ml/min,mL/min,1.0
mL/min/1.73.ar,mL/min,1.0
mL/min/1.73m*2,mL/min,1.0
ml/min/1.73m2,mL/min,1.0
ml/min/1.73m^2,mL/min,1.0
ml/min/1.73mSQ,mL/min,1.0
mL/min/1.73sqm,mL/min,1.0
ml/min/bsa,mL/min,1.0
ml/mn/1.73m2,mL/min,1.0
mm Hg,mmHg,1.0
mm/h,mm/h,1.0
mm/hr,mm/h,1.0
mM/M,mmol/mol,1.0
mm[Hg],mmHg,1.0
mmHg,mmHg,1.0
mmol/L,millimol/L,1.0
mmol/l,millimol/L,1.0
MMOL/L,millimol/L,1.0
mmol/mmol,mmol/mol,0.001
MMOL/MOL,mmol/mol,1.0
mmol/mol,mmol/mol,1.0
mmol/mol HbA0,mmol/mol,1.0
mmol/molHb,mmol/mol,1.0
mu/L,milliunits/L,1.0
mU/l,milliunits/L,1.0
mU/L,milliunits/L,1.0
mu/l,milliunits/L,1.0
Nanograms/litre,ng/L,1.0
nanomol/L,nanomol/L,1.0
Nanomole/litre,nanomol/L,1.0
ng/dl,ng/L,10.0
ng/l,ng/L,1.0
ng/L,ng/L,1.0
ng/mL,microg/L,1.0
ng/ml,microg/L,1.0
nMol/L,nanomol/L,1.0
nmol/l,nanomol/L,1.0
nmol/L,nanomol/L,1.0
Percent,%,1.0
pg,pg,1.0
pg/mL,ng/L,1.0
pg/ml,ng/L,1.0
Picograms,pg,1.0
picomol/L,picomol/L,1.0
Picomole/litre,picomol/L,1.0
Pmol/L,picomol/L,1.0
pmol/l,picomol/L,1.0
pmol/L,picomol/L,1.0
s,seconds,1.0
Seconds,seconds,1.0
seconds,seconds,1.0
U/l,units/L,1.0
u/L,units/L,1.0
u/l,units/L,1.0
U/L,units/L,1.0
U/ml,kU/L,1.0
U/mL,kU/L,1.0
u/mL,kU/L,1.0
u/ml,kU/L,1.0
U/month,units/week,0.23
U/month,units/month,1.0
U/Month,units/month,1.0
u/month,units/month,1.0
u/month,units/week,0.23
U/Month,units/week,0.23
U/Monthly,units/week,0.23
U/Monthly,units/month,1.0
U/months,units/month,1.0
U/months,units/week,0.23
u/week,units/week,1.0
U/week,units/week,1.0
ug/l,microg/L,1.0
ug/L,microg/L,1.0
umol/L,micromol/L,1.0
Umol/L,micromol/L,1.0
umol/l,micromol/L,1.0
Umol/l,micromol/L,1.0
Unit/liter,units/L,1.0
units per week,units/week,1.0
Units per week,units/week,1.0
Units per wk,units/week,1.0
Units/Day,units/day,1.0
Units/Day,units/week,7.0
units/L,units/L,1.0
Units/week,units/week,1.0
Units/Week,units/week,1.0
units/week,units/week,1.0
units/weeks,units/week,1.0
Units/wk,units/week,1.0
units/wk,units/week,1.0
week,weeks,1.0
x 10*9/L,10*9/L,1.0
x10 9/,10*9/L,1.0
x10*12/L,10*12/L,1.0
x10*9/L,10*9/L,1.0
x10^12/l,10*12/L,1.0
x10^12/litre,10*12/L,1.0
x10^9 /L,10*9/L,1.0
x10^9/L,10*9/L,1.0
x10^9/l,10*9/L,1.0
x10^9/litre,10*9/L,1.0
{beats}/min,bpm,1.0
{Units}/d,units/week,7.0
{Units}/d,units/day,1.0
{units}/wk,units/week,1.0
{U}/mL,kU/L,1.0
